aback,wstecz
abandon,porzucić
abate,zmniejszać
abbey,opactwo
abbot,opat
abbreviate,skracać
abdicate,abdykować
abdomen,brzuch
abduct,uprowadzać
aberration,aberracja
abet,pomagać w przestępstwie
abhor,czuć wstręt
abide,przestrzegać
abject,nikczemny
ablaze,w ogniu
able,zdolny
abnormal,nieprawidłowy
aboard,na
abode,siedziba
abolish,znieść
abolition,zniesienie
aborigine,Aborygen
abort,anulować
abound,obfitować
about,o
above,powyżej
abrasive,ścierny
abreast,ramię przy ramieniu
abroad,za granicą
abrupt,nagły
absence,brak
absent,nieobecny
absolute,absolutny
absolve,rozgrzeszać
absorb,absorbować
abstain,wstrzymać się
abstention,wstrzymanie się od głosu
abstinence,abstynencja
abstract,abstrakcyjny
absurd,absurdalny
abundant,obfity
abuse,nadużycie
abyss,przepaść
academia,akademickie
academy,akademia
accede,przystąpić
accelerate,przyśpieszyć
accent,akcent
accentuate,podkreślać
accept,zaakceptować
access,dostęp
accession,przystąpienie
accessory,akcesorium
accident,wypadek
acclaim,oklaskiwać
accolade,uznanie
accommodate,pomieścić
accompany,towarzyszyć
accomplice,wspólnik
accomplish,ukończyć
according,według
accordion,akordeon
accord,porozumienie
accountable,odpowiedzialny
accountant,księgowy
account,konto
accredit,akredytować
accretion,przyrost
accrue,płynąć
accumulate,gromadzić
accurate,dokładny
accuse,oskarżać
accustom,przyzwyczaić
ace,as
ache,ból
achieve,osiągać
acid,kwas
acknowledge,uznać
acne,trądzik
acorn,żołądź
acoustic,akustyczny
acquaint,zapoznać
acquiesce,zgodzić się
acquire,nabyć
acquisition,nabycie
acquit,uniewinnić
acre,akr
acrimony,gorycz
acrobat,akrobata
acronym,akronim
across,przez
acrylic,akryl
act,działać
activate,aktywuj
active,aktywny
actual,rzeczywisty
actuary,specjalista od ubezpieczeń
acupuncture,akupunktura
acute,ostry
adage,powiedzenie
adamant,nieugięty
adapt,przystosować się
add,dodawać
addict,nałogowiec
address,adres
adept,adept
adequacy,adekwatność
adequate,odpowiedni
adhere,przylegać
adhesive,spoiwo
adjacent,sąsiadujący
adjective,przymiotnik
adjoin,przyłączać
adjourn,zawiesić
adjudicate,orzec
adjunct,dodatek
adjust,dostosować
administer,administrować
administration,administracja
administrative,administracyjny
administrator,administrator
admiral,admirał
admiralty,admiralicja
admire,podziwiać
admissible,dopuszczalny
admission,wstęp
admit,przyznać
admonish,napominać
adobe,cegła suszona na słońcu
adolescent,dorastający
adopt,przyjąć
adore,adorować
adorn,zdobić
adrenaline,adrenalina
adrift,dryfujący
adult,dorosły
adultery,cudzołóstwo
advance,postęp
advantage,korzyść
advent,adwent
adventure,przygoda
adverb,przysłówek
adversary,przeciwnik
adverse,niekorzystny
advertise,reklamować
advice,rada
advise,doradzać
advocacy,rzecznictwo
advocate,rzecznik
aegis,egida
aerate,wietrzyć
aerial,antenowy
aerobics,aerobik
aerodynamic,aerodynamiczny
aeronautics,aeronautyka
aerosol,aerosol
aerospace,aerospace
aesthetic,estetyczny
afar,daleko
affable,uprzejmy
affair,sprawa
affection,tkliwość
affect,oddziaływać
affidavit,oświadczenie złożone pod przysięgą
affiliate,przyłączać
affinity,powinowactwo
affirm,potwierdzać
affix,afiks (znaki dołączane przed - prefiks lub na końcu słowa - sufiks)
afflict,dotknąć
affluence,zamożność
affluent,zamożny
afford,pozwolić sobie
affront,afront
afield,w polu
afloat,na morzu
afoot,pieszo
afore,wyżej
afraid,przestraszony
aftermath,następstwa
afternoon,popołudnie
after,po
aft,na rufie
again,jeszcze raz
against,przeciwko
agency,agencja
agenda,program
agent,agent
age,wiek
aggravate,pogarszać
aggregate,agregat
aggression,agresja
aggressive,agresywny
aggressor,agresor
aggrieved,pokrzywdzony
aghast,przerażony
agile,zwinny
agitate,mieszać
agnostic,agnostyk
agony,agonia
ago,temu
agrarian,rolny
agree,zgodzić się
agriculture,rolnictwo
ahead,przed siebie
aide,aide
aid,pomoc
ail,chorować
aim,cel
aircraft,samolot
airline,linia lotnicza
airlock,śluza
air,powietrze
airwave,airwave
airways,linia
aisle,przejście
ajar,uchylony
akin,pokrewny
alarm,alarm
alas,niestety
albeit,aczkolwiek
album,album
alchemy,alchemia
alcohol,alkohol
alcove,alkierz
alderman,radny miejski
alder,olcha
ale,rodzaj piwa
alert,alarm
algae,glony
algebra,algebra
algorithm,algorytm
alias,alias
alibi,alibi
alien,obcy
alight,wysiadać
align,wyrównać
alike,zarówno
alive,żywy
alkaline,alkaliczny
allay,uspokajać
allege,twierdzić
allegiance,wierność
allegory,alegoria
allergy,alergia
alleviate,łagodzić
alley,aleja
alliance,sojusz
alligator,aligator
allocate,przeznaczyć
allot,przydzielać
allow,dopuszczać
alloy,stop
allude,wspominać
allure,wabić
allusion,aluzja
all,wszystko
ally,sprzymierzyć
almighty,wszechmocny
almond,migdałowy
almost,prawie
aloft,wysoko
alone,sam
alongside,wzdłuż
along,wzdłuż
aloof,z dala
aloud,głośno
alpha,alfa
alphabet,alfabet
alps,alpy
already,już
alright,w porządku
also,również
altar,ołtarz
alternate,alternatywny
alternative,alternatywny
alter,zmieniać
although,mimo że
altitude,wysokość
altogether,całkowicie
altruism,altruizm
altruistic,altruistyczny
aluminium,aluminium
alumni,alumni
always,zawsze
amalgam,amalgamat
amalgamate,połączyć się
amass,zgromadzić
amateur,amator
amaze,zadziwiać
ambassador,ambasador
amber,bursztyn
ambience,atmosfera
ambiguity,dwuznaczność
ambiguous,dwuznaczny
ambition,ambicja
ambitious,ambitny
ambivalent,ambiwalentny
amble,kłusować
ambulance,ambulans
ambulate,ambulate
ambush,zasadzka
ameliorate,polepszyć
amenable,odpowiedzialny
amen,amen
amend,modyfikować
amenity,uprzejmość
